Company,ISIN,NSE,BSE,Category
Sprayking Limited,INE537U01037,,SPRAYKING,Small Cap
PAOS INDUSTRIES LIMITED,INE791C01012,,PAOS,Small Cap
Sumedha Fiscal Services Ltd.,INE886B01012,,SUMEDHA,Small Cap
Sri Ramakrishna Mills (Coimbatore) Ltd.,INE306D01017,,SRMCL,Small Cap
CHALLANI CAPITAL LIMITED,INE807A01010,,CHALLANI,Small Cap
Riddhi Display Equipments Limited,INE1DKT01011,,RDEL,Small Cap
Scan Projects Ltd,INE393D01015,,SCANPRO,Small Cap
STL Global Ltd,INE353H01010,SGL,SGL,Small Cap
Faalcon Concepts Limited,INE0Q9W01015,,FAALCON,Small Cap
TeleCanor Global Limited,INE381G01013,,TELECANOR,Small Cap
Poddar Housing and Development Limited,INE888B01018,,PODDARHOUS,Small Cap
ADVANCE METERING TECHNOLOGY LIMITED,INE436N01029,,AMTL,Small Cap
YAAN ENTERPRISES LIMITED,INE969E01010,,YAANENT,Small Cap
Tyroon Tea Co. Ltd.,INE945B01016,,TYROON,Small Cap
Ashirwad Steels & Industries  Ltd.,INE338C01012,,ASHSI,Small Cap
Arnold Holdings Ltd,INE185K01036,,ARNOLD,Small Cap
G. G. Dandekar Properties Limited,INE631D01026,,GGDPROP,Small Cap
Envair Electrodyne Ltd.,INE601C01013,,ENVAIREL,Small Cap
Adarsh Plant Project Ltd.,INE627D01016,,ADARSHPL,Small Cap
Kanani Industries Ltd,INE879E01037,KANANIIND,KANANIIND,Small Cap
United Cotfab Limited,INE0S0I01011,,COTFAB,Small Cap
Winro Commercial (India) Ltd.,INE837E01019,,WINROC,Small Cap
AA Plus Tradelink Limited,INE0C5901022,,AAPLUSTRAD,Small Cap
Yarn Syndicate Ltd.,INE564C01013,,YARNSYN,Small Cap
Safecure Services Limited,INE0SVZ01015,,SAFECURE,Small Cap
IVRCL LTD,INE875A01025,,IVRCLINFRA,Small Cap
GKB Ophthalmics Ltd.,INE265D01015,,GKB,Small Cap
GRAMEVA LIMITED,INE578R01011,,GRAMEVA,Small Cap
JMJ Fintech Limited,INE242Q01016,,JMJFIN,Small Cap
Haryana Leather Chemicals Ltd.,INE681F01018,,HARLETH,Small Cap
Unison Metals Ltd,INE099D01026,,UNISON,Small Cap
POLYSPIN EXPORTS LIMITED,INE914G01029,,POLYSPIN,Small Cap
Comrade Appliances Limited,INE0NXA01015,,COMRADE,Small Cap
Classic Filaments Limited,INE181U01018,,CFL,Small Cap
ARIGATO UNIVERSE LIMITED,INE021N01011,,ARIGATO,Small Cap
William Magor & Company Limited,INE210A01017,WILLAMAGOR,WILLAMAGOR,Small Cap
ABRIL PAPER TECH LIMITED,INE15MX01014,,ABRIL,Small Cap
Medico Intercontinental Limited,INE858Q01019,,MIL,Small Cap
Harmony Capital Services Ltd.,INE264N01017,,HRMNYCP,Small Cap
Margo Finance Limited,INE680B01019,,MARGOFIN,Small Cap
Tirupati Sarjan Ltd.,INE297J01023,,TIRSARJ,Small Cap
JOHNSON PHARMACARE LIMITED,INE560F01022,,JOHNPHARMA,Small Cap
Shree Vatsaa Finance & Leasing Ltd.,INE981C01019,,SHVFL,Small Cap
Linkson International Limited,INE996E01021,,LINKSONI,Small Cap
Kabsons Industries Ltd.,INE645C01010,,KABSON,Small Cap
NACDAC Infrastructure Limited,INE0LB101011,,NACDAC,Small Cap
WEST LEISURE RESORTS LIMITED,INE266P01017,,WESTLEIRES,Small Cap
Shentracon Chemicals Ltd.,INE0OUS01011,,SHENTRA,Small Cap
RKD AGRI & RETAIL LIMITED,INE552N01023,,RKDAGRRTL,Small Cap
CELLA SPACE LIMITED,INE266H01014,,CELLA,Small Cap
Deccan Health Care Limited,INE452W01019,,DECCAN,Small Cap
Chennai Meenakshi Multispeciality Hospital Ltd.,INE889F01017,,CMMHOSP,Small Cap
Rishi Techtex Limited,INE989D01010,,RISHITECH,Small Cap
Kaushalya Infrastructure Development Corporation Ltd,INE234I01028,KAUSHALYA,KAUSHALYA,Small Cap
Cyber Media (India) Ltd.,INE278G01037,CYBERMEDIA,CYBERMEDIA,Small Cap
Tejnaksh Healthcare Limited,INE030T01027,,TEJNAKSH,Small Cap
Hawa Engineers ltd.,INE230I01018,,HAWAENG,Small Cap
India Nivesh Limited,INE131H01028,,INDIANVSH,Small Cap
Monotype India Ltd.,INE811D01024,,MONOT,Small Cap
Gujarat Terce Laboratories Ltd,INE499G01013,,GUJTERC,Small Cap
Nalin Lease Finance Ltd.,INE606C01012,,NLFL,Small Cap
TCFC Finance Ltd,INE389D01013,,TCFCFINQ,Small Cap
Surbhi Industries Limited,INE899E01019,,SURBHIN,Small Cap
Kridhan Infra Limited,INE524L01026,KRIDHANINF,KRIDHANINF,Small Cap
Libas Consumer Products Ltd.,INE908V01012,LIBAS,,Small Cap
Kapil Raj Finance Ltd.,INE332Q01023,,KAPILRAJ,Small Cap
Gorani Industries Ltd.,INE792J01015,,GORANIN,Small Cap
India Cements Capital Limited,INE429D01017,,INDCEMCAP,Small Cap
Kenvi Jewels Limited,INE923Y01023,,KENVI,Small Cap
SKYBIOTECH HEALTHCARE LIMITED,INE393H01016,,SKYBIOTECH,Small Cap
RR METALMAKERS INDIA LIMITED,INE117K01013,,RRMETAL,Small Cap
Chordia Food Products Ltd,INE975C01011,,CHORDIA,Small Cap
Chandra Bhagat Pharma Limited,INE07QQ01016,,CBPL,Small Cap
Hemadri Cements Limited,INE07BK01011,,HEMACEM,Small Cap
ANNVRRIDHHI VENTURES LIMITED,INE075K01013,,ANVRDHI,Small Cap
Oasis Securities Limited,INE876A01023,,OASISEC,Small Cap
Amco India Ltd.,INE924B01011,,AMCOIND,Small Cap
Duropack Ltd,INE138B01018,,DUROPACK,Small Cap
K K SILK MILLS LIMITED,INE0EOJ01014,,KKSILK,Small Cap
Dharani Sugars & Chemicals Ltd,INE988C01014,,DHARSUGAR,Small Cap
Katare Spinning Mills Ltd.,INE498G01015,,KATRSPG,Small Cap
Nirav Commercials Ltd.,INE242B01018,,NIRAVCOM,Small Cap
QGO FINANCE LIMITED,INE837C01013,,QGO,Small Cap
Ramsons Projects Ltd.,INE609D01014,,RAMSONS,Small Cap
Ajwa Fun World & Resorts Ltd,INE863E01015,,AJWAFUN,Small Cap
Polymechplast Machines Ltd.,INE809B01014,,POLYCHMP,Small Cap
Parshwanath Corporation Limited,INE635I01018,,PARSHWANA,Small Cap
Infomedia Press Limited,INE669A01022,INFOMEDIA,INFOMEDIA,Small Cap
THINKINK PICTUREZ LIMITED,INE365S01045,,THINKINK,Small Cap
Carnation Industries Ltd.,INE081B01028,,CARNATIN,Small Cap
Eastern Silk Industries Limited,INE962C01035,EASTSILK,EASTSILK,Small Cap
SATTVA SUKUN LIFECARE LIMITED,INE280E01038,,SATTVASUKU,Small Cap
Morarjee Textiles Limited,INE161G01027,MORARJEE,MORARJEE,Small Cap
Supreme Engineering Ltd.,INE319Z01021,SUPREMEENG,,Small Cap
Capricorn Systems Global Solutions Ltd.,INE968E01012,,CAPRICORN,Small Cap
SMC Credits ltd.,INE440E01012,,SMCREDT,Small Cap
Ramgopal Polytex Ltd,INE410D01017,,RAMGOPOLY,Small Cap
Sahara HousingFina Corporation Ltd.,INE135C01012,,SAHARAHOUS,Small Cap
Yug Decor Limited,INE796W01019,,YUG,Small Cap
Daikaffil Chemicals India Ltd.,INE789B01018,,DAIKAFFI,Small Cap
Future Lifestyle Fashions Limited,INE452O01016,FLFL,FLFL,Small Cap
Omkar Pharmachem Ltd.,INE501C01015,,OMKARPH,Small Cap
Kaiser Corporation Limited,INE229G01022,,KACL,Small Cap
PRISMX GLOBAL VENTURES LIMITED,INE286N01028,,PRISMX,Small Cap
JAIHIND INDUSTRIES LIMITED,INE156E01014,,JAIHIND,Small Cap
APEX CAPITAL AND FINANCE LIMITED,INE758W01019,,ACFL,Small Cap
Salora International Limited,INE924A01013,,SALORAINTL,Small Cap
Alfavision Overseas (India) Ltd.,INE883B01027,,ALFAVIO,Small Cap
Aditya Spinners Ltd.,INE122D01026,,ADITYASP,Small Cap
Libord Finance Limited,INE212B01011,,LIBORDFIN,Small Cap
Hindoostan Mills Ltd.,INE832D01020,,HINDMILL,Small Cap
TRANSVOY LOGISTICS INDIA LIMITED,INE0MPU01011,,TRANSVOY,Small Cap
Krishna Ventures Limited,INE537L01010,,KRISHNA,Small Cap
Pasupati Spg. & Wvg. Mills Ltd.,INE909B01020,,PASUSPG,Small Cap
EQUILATERAL ENTERPRISES LIMITED,INE060N01019,,EQUILATERA,Small Cap
KSL AND INDUSTRIES LTD,INE219A01026,,KSLIND,Small Cap
Purshottam Investofin Limited,INE729C01020,,PURSHOTTAM,Small Cap
Khandwala Securities Ltd.,INE060B01014,KHANDSE,KHANDSE,Small Cap
FLEXITUFF VENTURES INTERNATIONAL LIMITED,INE060J01017,FLEXITUFF,FLEXITUFF,Small Cap
Jetmall Spices and Masala Limited,INE0D9X01018,,JETMALL,Small Cap
TGB Banquets and Hotels Limited,INE797H01018,TGBHOTELS,TGBHOTELS,Small Cap
MPDL LIMITED,INE493H01014,,MPDL,Small Cap
JAINEX AAMCOL LTD.,INE280F01019,,JAINEX,Small Cap
Shyamkamal Investments Ltd.,INE203N01015,,SHYMINV,Small Cap
Aruna Hotels Ltd.,INE957C01019,,ARUNAHTEL,Small Cap
Premier Capital Services Ltd.,INE946K01023,,PREMCAP,Small Cap
SANWARIA CONSUMER LIMITED,INE890C01046,SANWARIA,SANWARIA,Small Cap
Megri Soft Limited,INE756R01013,,MEGRISOFT,Small Cap
EPIC Energy Ltd.,INE932F01015,,EPIC,Small Cap
JUNE INDUSTRIES LIMITED,INE108B01029,,JUNE,Small Cap
Dolphin Kitchen Utencils and Appliances Limited,INE0QXT01018,,DKUAL,Small Cap
Venlon Enterprises Ltd.,INE204D01022,,VENLONENT,Small Cap
KK Shah Hospitals Limited,INE0OH401016,,KKSHL,Small Cap
Goenka Diamond & Jewels Ltd,INE516K01024,,GOENKA,Small Cap
Stanrose Mafatlal Investments & Fin,INE441L01015,,STANROS,Small Cap
Sulabh Engineers & Services Limited,INE673M01029,,SULABEN,Small Cap
Navigant Corporate Advisors Limited,INE364T01012,,NAVIGANT,Small Cap
Milestone Furniture Limited,INE424Z01011,,MILEFUR,Small Cap
Times Green Energy (India) Limited,INE0B6101012,,TIMESGREEN,Small Cap
Subhash Silk Mills Ltd.,INE690D01014,,SUBSM,Small Cap
Sarthak Industries Ltd.,INE074H01012,,SARTHAKIND,Small Cap
Morarka Finance Ltd.,INE367A01015,,MORARKFI,Small Cap
Shoora Designs Limited,INE0OJZ01019,,SHOORA,Small Cap
Mega Fin (India) Ltd.,INE524D01015,,MEGFI,Small Cap
Goel Food Products Limited,INE0K6L01010,,GOEL,Small Cap
Caprolactam Chemicals ltd.,INE470N01010,,CAPRO,Small Cap
Dynamic Protfolio Management & Serv,INE118C01018,,DYNAMICP,Small Cap
Sonalis Consumer Products Limited,INE0N5O01013,,SONALIS,Small Cap
Spenta International Ltd.,INE175C01018,,SPENTA,Small Cap
VIRTUAL GLOBAL EDUCATION LTD.,INE247C01023,,VIRTUALG,Small Cap
SHREENATH PAPER PRODUCTS LIMITED,INE0RXS01018,,SHREENATH,Small Cap
BYLD Capital Finance Limited,INE759D01017,,BYLD,Small Cap
Laxmi cotspin ltd.,INE801V01019,LAXMICOT,,Small Cap
DIPNA PHARMACHEM LIMITED,INE0MC401013,,DPL,Small Cap
Ranjeet Mechatronics Limited,INE01A501027,,RANJEET,Small Cap
Sunil Agro Foods ltd.,INE224D01012,,SUNILAGR,Small Cap
Titaanium Ten Enterprise Limited,INE120V01014,,TITAANIUM,Small Cap
Tecil Chemicals & Hydro Power Limit,INE014B01011,TECILCHEM,TECILCHEM,Small Cap
Octaware Technologies Limited,INE208U01019,,OCTAWARE,Small Cap
PANAFIC INDUSTRIALS LTD,INE655P01029,,PANAFIC,Small Cap
Kaarya Facilities and Services Limited,INE282Y01016,,KAARYAFSL,Small Cap
KMG Milk Food Limited,INE873N01015,,KMGMILK,Small Cap
MPIL CORPORATION LIMITED,INE844C01027,,MPILCORPL,Small Cap
Mahalaxmi Fabric Mills Limited,INE0US801024,MFML,MFML,Small Cap
Mercator Limited,INE934B01028,,MERCATOR,Small Cap
Darshan Orna Limited,INE671T01028,,DARSHANORNA,Small Cap
Narendra Properties Ltd.,INE603F01012,,NARPROP,Small Cap
Bombay Wire Ropes Ltd.,INE089T01023,,BOMBWIR,Small Cap
Unick Fix-A- Form and Printers Limited,INE250G01010,,UNICK,Small Cap
7NR Retail Limited,INE413X01035,,7NR,Small Cap
Shricon Industries Ltd.,INE753D01010,,SHRICON,Small Cap
AHASOLAR TECHNOLOGIES LIMITED,INE0NEV01011,,AHASOLAR,Small Cap
Rajkamal Synthetics Ltd.,INE376L01013,,RAJKSYN,Small Cap
Mediaone Global Entertainment Limited,INE828I01019,,MEDIAONE,Small Cap
Adeshwar Meditex Limited,INE0H8J01015,,ADESHWAR,Small Cap
Khoobsurat Ltd.,INE731G01027,,KHOOBSURAT,Small Cap
LAKE SHORE REALTY LIMITED,INE734D01010,,LAKESHORE,Small Cap
dynamic Archistructures Limited,INE874E01012,,DAL,Small Cap
Naturewings Holidays Limited,INE0N4701016,,NHL,Small Cap
KJMC Financial Services Ltd.,INE533C01018,,KJMCFIN,Small Cap
Mewar Hi-Tech Engineering Limited,INE957U01011,,MHEL,Small Cap
Deco-Mica Ltd.,INE907E01010,,DECOMIC,Small Cap
Southern Magnesium And Chemicals Lt,INE308N01012,,SOUTHMG,Small Cap
Swarna Securities Ltd.,INE595G01018,,SWRNASE,Small Cap
Mansi Finance (Chennai) Ltd,INE094E01017,,MANSIFIN,Small Cap
Invigorated Business Consulting Limited,INE359A01012,,INVIGO,Small Cap
Blue Chip Tex Industries Ltd.,INE472D01017,,BLUECHIPT,Small Cap
Arcotech Limited (Formerly SKS Ltd),INE574I01035,,ARCOTECH,Small Cap
Smart Finsec Limited,INE766D01020,,SMARTFIN,Small Cap
Standard Batteries Ltd.,INE502C01039,,STDBAT,Small Cap
Asian Tea & Exports Ltd.,INE822B01017,,ASIANTNE,Small Cap
Balurghat Technologies Ltd.,INE654B01014,,BALTE,Small Cap
Karuturi Global Limited,INE299C01024,,KGL,Small Cap
Cochin Malabar Estates & Indus. Ltd,INE788M01017,,COCHMAL,Small Cap
Shree Ganesh Biotech (India) Limited,INE051N01026,,SHREEGANES,Small Cap
Miven Machine Tools Ltd.,INE338P01014,,MIVENMACH,Small Cap
Poojawestern Metaliks Limited,INE973X01012,,POOJA,Small Cap
Ashirwad Capital Ltd.,INE894A01026,,ASHCAP,Small Cap
Prakash Woollen & Synthetic Mills Ltd,INE523I01016,,PWASML,Small Cap
Shrenik Ltd.,INE632X01030,SHRENIK,,Small Cap
Reliable Ventures India Ltd,INE419H01019,,RELIABVEN,Small Cap
EASY FINCORP LIMITED,INE407F01018,,EASYFIN,Small Cap
Lesha Industries Limited,INE050L01048,,LESHAIND,Small Cap
Jindal Capital Ltd.,INE356F01017,,JINDCAP,Small Cap
KSK Energy Ventures  Limited,INE143H01015,,KSK,Small Cap
Popular Estate Management Ltd,INE370C01015,,POPULARES,Small Cap
National General Industries Ltd.,INE654H01011,,NATGENI,Small Cap
UTIQUE ENTERPRISES LIMITED,INE096A01010,,UTIQUE,Small Cap
Solvex Edibles Limited,INE1IIQ01028,,SOLVEX,Small Cap
VAPI ENTERPRISE LIMITED,INE464D01014,,VAPIENTER,Small Cap
Photon Capital Advisors Ltd,INE107J01016,,PHOTON,Small Cap
Sonal Adhesives Ltd.,INE344I01017,,SONALAD,Small Cap
TEJASSVI AAHARAM LIMITED,INE173E01019,,TEJASSVI,Small Cap
Pentokey Organy (India) Ltd.,INE702E01015,,PNTKYOR,Small Cap
Rishabh Special Yarns Ltd,INE351D01013,,RISHYRN,Small Cap
Martin Burn Ltd,INE199D01016,,MARBU,Small Cap
SK International Export Limited,INE04ST01013,,SKIEL,Small Cap
Maris Spinners Ltd.,INE866D01010,,MARIS,Small Cap
Intec Capital Limited,INE017E01018,,INTECCAP,Small Cap
Easun Capital Markets Limited,INE771C01014,,EASUN,Small Cap
Inland Printers Ltd.,INE055O01033,,INLANPR,Small Cap
Inani Marbles & Industries Ltd.,INE635D01027,,INANI,Small Cap
SRI HAVISHA HOSPITALITY AND INFRASTRUCTURE LIMITED,INE293B01029,HAVISHA,HAVISHA,Small Cap
Laffans Petrochemicals Ltd.,INE919B01011,,LAFFANSQ,Small Cap
Konark Synthetics  Ltd,INE517D01019,,KONARKSY,Small Cap
TRILIANCE POLYMERS LIMITED,INE778N01016,,TRILIANCE,Small Cap
Shree Metalloys Limited,INE914B01012,,SHREMETAL,Small Cap
Kamanwala Housing Construction Ltd,INE344D01018,,KAMANWALA,Small Cap
White Organic Retail Limited,INE06CG01019,,WORL,Small Cap
COLORCHIPS NEW MEDIA LIMITED,INE621I01042,,COLORCHIPS,Small Cap
BOMBAY TALKIES LIMITED,INE910D01024,,BOMTALKIES,Small Cap
Mukat Pipes Limited,INE862C01029,,MUKATPIP,Small Cap
Vivanta Industries Limited,INE299W01022,,VIVANTA,Small Cap
Shree Bhavya Fabrics Limited,INE363D01018,,SBFL,Small Cap
Pan India Corporation Ltd,INE376A01032,,PANINDIAC,Small Cap
LWS Knitwear Ltd,INE281M01013,,LWSKNIT,Small Cap
ERP Soft Systems Ltd.,INE308B01017,,ERPSOFT,Small Cap
Machhar Industries Limited,INE01BT01015,,MACIND,Small Cap
Amrapali Capital and Finance Services Limited,INE218P01018,,ACFSL,Small Cap
Aagam Capital Limited,INE817D01013,,AAGAMCAP,Small Cap
Scarnose International Limited,INE0IXR01019,,SCARNOSE,Small Cap
NMS GLOBAL LIMITED,INE169F01014,,NMSGLOBAL,Small Cap
Patspin India Ltd.,INE790C01014,,PATSPINLTD,Small Cap
IITL PROJECTS LIMITED,INE786E01018,,IITLPROJ,Small Cap
K-Lifestyle & Industries Limited,INE218A01028,,KLIFESTYL,Small Cap
Rajeshwari Cans Limited,INE0CQ101015,,RCAN,Small Cap
TGIF AGRIBUSINESS LIMITED,INE0SMU01015,,TGIF,Small Cap
Venmax Drugs And Pharmaceuticals Ltd,INE154G01022,,VENMAX,Small Cap
PIOTEX INDUSTRIES LIMITED,INE0R4W01015,,PIOTEX,Small Cap
Ankit Metal  & Power Limited,INE106I01010,ANKITMETAL,ANKITMETAL,Small Cap
Valencia India Limited,INE130701019,,VALINDIA,Small Cap
Esha Media Research Limited,INE328F01016,,ESHAMEDIA,Small Cap
Sangal Papers Ltd.,INE384D01022,,SANPA,Small Cap
TCI Finance Limited,INE911B01018,TCIFINANCE,TCIFINANCE,Small Cap
SKIL Infrastructure Limited,INE429F01012,SKIL,SKIL,Small Cap
Earthstahl & Alloys Limited,INE0O4V01010,,EARTH,Small Cap
Maharashtra Corporation Ltd.,INE272E01027,,MAHACORP,Small Cap
Richfield Financial Services Ltd.,INE201C01012,,RFSL,Small Cap
Ishita Drugs & Industries Ltd.,INE806D01016,,ISHITADR,Small Cap
Innovative Ideals and Services (India) Limited,INE492Y01011,,INNOVATIVE,Small Cap
PlatinumOne Business Services Limited,INE0DTJ01015,,POBS,Small Cap
Southern Latex Ltd.,INE410M01018,,SOUTLAT,Small Cap
Supra Trends Limited,INE533B01028,,SUPRATRE,Small Cap
Prime Urban Development India Ltd,INE419E01024,,PRIMEURB,Small Cap
TV VISION LIMITED,INE871L01013,TVVISION,TVVISION,Small Cap
Chandni Machines Limited,INE01GZ01011,,CHANDNIMACH,Small Cap
Cargosol Logistics Limited,INE0KZM01011,,CARGOSOL,Small Cap
Bloom Industries Ltd,INE373E01015,,BLOIN,Small Cap
TTI Enterprise Limited,INE404F01031,,TTIENT,Small Cap
Crimson Metal Engineering Company Ltd,INE318P01016,,CRIMSON,Small Cap
Helpage Finlease Ltd.,INE738P01015,,HELPAGE,Small Cap
Command Polymers Limited,INE0LKQ01012,,COMMAND,Small Cap
SVS VENTURES LIMITED,INE0MID01012,,SVS,Small Cap
Howard Hotels Limited,INE931B01016,,HOWARHO,Small Cap
Shree Marutinandan Tubes Limited,INE0QIS01011,,SHREE,Small Cap
Valson Industries Ltd.,INE808A01018,,VALSONQ,Small Cap
WinPro Industries Limited,INE974C01022,,WINPRO,Small Cap
Gujarat Raffia Ind. Ltd.,INE610B01024,GUJRAFFIA,GUJRAFFIA,Small Cap
Aten Papers & Foam Limited,INE0XCV01014,,ATENPAPERS,Small Cap
KCL Infra Projects Limited,INE469F01026,,KCLINFRA,Small Cap
DARJEELING INDUSTRIIES LIMITED,INE830S01014,,DARJEELING,Small Cap
Roselabs Finance Ltd.,INE475C01012,,ROSELABS,Small Cap
Step Two Corporation Ltd.,INE623D01015,,STEP2COR,Small Cap
Manraj Housing Finance Ltd.,INE948I01015,,MANRAJH,Small Cap
Saffron Industries Limited,INE474D01013,,SAFFRON,Small Cap
Abhishek Finlease limited,INE723C01015,,ABHIFIN,Small Cap
G-TEC Jainx Education Ltd.,INE586X01012,GTECJAINX,,Small Cap
Vinyoflex Ltd.,INE526H01011,,VINYOFL,Small Cap
Quadrant Televentures Limited,INE527B01020,,QUADRANT,Small Cap
Neo Infracon Ltd.,INE216I01017,,NEOINFRA,Small Cap
Asian Petroproducts & Exports Ltd.,INE810M01019,,ASINPET,Small Cap
Sujala Trading & Holdings Ltd.,INE029H01016,,SUJALA,Small Cap
Mittal Life Style Ltd.,INE997Y01027,MITTAL,,Small Cap
Vrundavan Plantation Limited,INE0Q6901013,,VPL,Small Cap
TECHINDIA NIRMAN LIMITED,INE778A01021,,TECHIN,Small Cap
RSC International Limited,INE015F01019,,RSCINT,Small Cap
JULIEN AGRO INFRATECH LIMITED,INE890N01027,,JULIEN,Small Cap
TRADEWELL HOLDINGS LIMITED,INE819G01012,,TRADEWELL,Small Cap
Orosil Smiths India Limited,INE628B01034,,OROSMITHS,Small Cap
Harish Textile Engineers Limited,INE01K301012,,HARISH,Small Cap
Visagar Financial Services Ltd,INE309H01038,,VISAGAR,Small Cap
Salguti Industries Ltd.,INE159C01012,,SALGUTI,Small Cap
Hipolin Ltd.,INE963A01011,,HIPOLIN,Small Cap
Paragon Finance Ltd.,INE015E01012,,PARAGONF,Small Cap
MARUTI GLOBAL INDUSTRIES LIMITED,INE368C01019,,MGIL,Small Cap
Span Divergent Limited,INE004E01016,,SDL,Small Cap
Davin Sons Retail Limited,INE0Q2L01013,,DAVIN,Small Cap
Fone4 Communications (India) Limited,INE0L3H01014,,FONE4,Small Cap
Add-Shop E-Retail Limited,INE01B501018,,ASRL,Small Cap
PRABHHANS INDUSTRIES LIMITED,INE428P01013,,PRABHHANS,Small Cap
Esaar (India) Ltd.,INE404L01039,,ESARIND,Small Cap
Futura Polyesters Ltd.,INE564A01017,,FUTURAPOLY,Small Cap
Organic Coatings Ltd.,INE412E01011,,ORGCOAT,Small Cap
Vikas WSP Ltd.,INE706A01022,,VIKASWSP,Small Cap
Consecutive Commodities Limited,INE187R01029,,CCDL,Small Cap
Vama Industries Limited,INE685D01022,,VAMA,Small Cap
GSB Finance Ltd.,INE777C01011,,GSBFIN,Small Cap
O. P. Chains Limited,INE118Q01018,,OPCHAINS,Small Cap
RAP CORP LIMITED,INE483D01014,,RAP,Small Cap
Shashijit Infraprojects Limited,INE700V01021,,SHASHIJIT,Small Cap
Global Capital Markets Ltd.,INE062C01042,,GLOBALCA,Small Cap
PRADHIN LIMITED,INE656B01027,,PRADHIN,Small Cap
Niks Technology Limited,INE0GX601011,,NIKSTECH,Small Cap
Zenith Fibres Limited,INE106C01013,,ZENIFIB,Small Cap
Sanchay Finvest Ltd,INE654D01010,,SANCF,Small Cap
Krupalu Metals Limited,INE0XZB01017,,KRUPALU,Small Cap
Shukra Bullions Limited,INE561E01015,,SKRABUL,Small Cap
Shree Ram Proteins Ltd.,INE008Z01020,SRPL,,Small Cap
Response Informatics Limited,INE401B01010,,RESPONSINF,Small Cap
Indo Cotspin Limited,INE407P01017,,ICL,Small Cap
KJMC Corporate Advisors (India) Ltd.,INE602C01011,,KJMCCORP,Small Cap
VIKRAM AROMA LIMITED,INE0NR501012,,VIKRAMAR,Small Cap
Shahi Shipping Limited,INE825D01016,,SHAHISHIP,Small Cap
NDA Securities ltd.,INE026C01013,,NDASEC,Small Cap
N.D.Metal Industries Ltd,INE643D01013,,NDMETAL,Small Cap
Hindustan Agrigenetics Ltd.,INE092301014,,HINDUST,Small Cap
Polo Hotels Ltd.,INE084C01012,,POLOHOT,Small Cap
Inducto Steels ltd.,INE146H01018,,INDCTST,Small Cap
SAWACA ENTERPRISES LIMITED,INE248B01023,,SAWACA,Small Cap
ECS Biztech Limited,INE925Q01024,,ECS,Small Cap
Veejay Lakshmi Engineering Works Lt,INE466D01019,,VJLAXMIE,Small Cap
Amrapali Fincap Limited,INE990S01016,,AMRAFIN,Small Cap
NEERAJ PAPER MARKETING LIMITED,INE894J01019,,NEERAJ,Small Cap
CLC Industries Limited,INE376C01038,CLCIND,CLCIND,Small Cap
GSL Securities Ltd.,INE721D01017,,GSLSEC,Small Cap
ONESOURCE INDUSTRIES AND VENTURES LIMITED,INE125F01032,,OIVL,Small Cap
York Exports Ltd.,INE057Q01018,,YORKEXP,Small Cap
K.S.Oils Ltd.,INE727D01022,,KSOILS,Small Cap
Astron Paper & Board Mill Limited,INE646X01014,ASTRON,ASTRON,Small Cap
Ekennis Software Service Limited,INE0KCM01010,,EKENNIS,Small Cap
MEP Infrastructure Developers Limited,INE776I01010,MEP,MEP,Small Cap
DALMIA INDUSTRIAL DEVELOPMENT LIMITED,INE642P01019,,DIDL,Small Cap
KDJ Holidayscapes and Resorts Limited,INE089E01025,,KDJHRL,Small Cap
CRYSTAL BUSINESS SYSTEM LIMITED,INE994R01028,,CRYSTAL,Small Cap
Silly Monks Entertainment Ltd.,INE203Y01012,SILLYMONKS,,Small Cap
NCC Bluewater Products Ltd.,INE630N01019,,NCCBLUE,Small Cap
Hisar Spinning Mills Ltd,INE689E01014,,HISARSP,Small Cap
Regent Enterprises Limited,INE769D01016,,REGENTRP,Small Cap
Switching Technologies Gunther Ltd.,INE311D01017,,SWITCHTE,Small Cap
Ace Integrated Solutions Ltd.,INE543V01017,ACEINTEG,,Small Cap
Rama Petrochemicals Ltd,INE783A01013,,RAMAPETRO,Small Cap
Max heights Infrastucture Ltd,INE393F01010,,MAXHEIGHTS,Small Cap
Quality RO Industries Limited,INE0KAF01018,,QRIL,Small Cap
Sanblue Corporation Limited,INE602D01027,,SANBLUE,Small Cap
Prima Industries Ltd.,INE723N01012,,PRIMAIN,Small Cap
Cil Securities Ltd.,INE830A01012,,CILSEC,Small Cap
Best Eastern Hotels Limited,INE553F01035,,BESTEAST,Small Cap
Shashwat Furnishing Solutions Limited,INE0JMN01019,,SFSL,Small Cap
KOURA FINE DIAMOND JEWELRY LIMITED,INE0M8R01011,,KOURA,Small Cap
SSPDL Limited,INE838C01011,,SSPDL,Small Cap
Duncans Industries Ltd.,INE508A01022,,DUNCANSLTD,Small Cap
Hemang Resources Limited,INE930A01010,,HEMANG,Small Cap
Containerway International Limited,INE319U01022,,CONTAINER,Small Cap
Jayshree Chemicals Ltd.,INE693E01016,,JAYCH,Small Cap
Kotia Enterprises Limited,INE079C01012,,KEL,Small Cap
Cindrella Hotels Ltd.,INE908C01012,,CINDHO,Small Cap
Raw Edge Industrial Solutions Limited,INE960Z01014,,RAWEDGE,Small Cap
Novateor Research Laboratories Limited,INE08JY01013,,NOVATEOR,Small Cap
NEELKANTH LIMITED,INE581D01015,,NEELKANTH,Small Cap
Meyer Apparel Limited,INE100C01024,,MAL,Small Cap
Chambal Breweries & Distilleries Li,INE417N01011,,CHMBBRW,Small Cap
